Date,actual,pred,error
2015-02,5.285023357414698,3.462944780221626,1.8220785771930714
2015-03,4.85090772025476,4.646270617067618,0.20463710318714234
2015-04,4.327046371444432,4.4512848646031244,-0.12423849315869262
2015-05,4.056787196452749,4.440846041680224,-0.38405884522747513
2015-06,3.7306770798053,3.98363001953188,-0.25295293972657973
2015-07,3.5437636620672563,3.7566800332238977,-0.2129163711566413
2015-08,3.357353340770608,3.1101767228371813,0.2471766179334267
2015-09,2.956565595226568,3.3309700113713028,-0.37440441614473485
2015-10,3.01290413652211,3.741444459256339,-0.7285403227342293
2015-11,2.968934636577103,2.451529708775986,0.5174049278011168
2015-12,2.8460566431866674,0.16437795980698766,2.6816786833796797
2016-01,2.7811338200806723,0.46428055462858,2.3168532654520924
2016-02,2.684848514522109,0.6973214283454787,1.9875270861766303
2016-03,2.681607269889419,0.7131985635758618,1.9684087063135571
2016-04,2.674862005938383,1.5168699037803162,1.157992102158067
2016-05,2.597231095554342,1.7298567201316501,0.8673743754226919
2016-06,2.7841503984650906,2.5106830107697657,0.27346738769532486
2016-07,2.935511971446747,2.517723584077576,0.41778838736917123
2016-08,3.157536180115894,2.0846577174350305,1.0728784626808636
2016-09,3.0563764272431904,2.702329955385732,0.3540464718574583
2016-10,2.8004668004335542,3.0017498962383122,-0.201283095804758
2016-11,2.590767033375218,1.9783181166213506,0.6124489167538676
2016-12,2.7337301041712614,0.5580943748704232,2.175635729300838
2017-01,3.1502547401247583,0.13715143101907756,3.0131033091056807
2017-02,3.557963668620445,0.588312723841625,2.96965094477882
2017-03,4.0610120384339865,1.6407384941932417,2.420273544240745
2017-04,4.363002966160945,2.136340378994996,2.226662587165949
2017-05,4.443366921796699,2.7107922824302877,1.732574639366411
2017-06,4.221449485152817,3.313358949746142,0.9080905354066751
2017-07,3.962088772924144,3.2543450772227365,0.7077436957014074
2017-08,3.9417815894694286,1.9414634123548549,2.0003181771145737
2017-09,5.763915344365156,2.3590346039103904,3.4048807404547654
2017-10,6.730842390754965,2.962670400588512,3.7681719901664534
2017-11,6.766783375348329,2.7518726675550864,4.014910707793242
2017-12,6.5400266015776864,2.8432315321280166,3.69679506944967
2018-01,6.068270305671053,3.16660949595869,2.901660809712363
2018-02,5.587213423048176,3.3349452857998205,2.2522681372483557
2018-03,4.892161685650009,3.0695652944571217,1.8225963911928877
2018-04,4.363169055473559,2.7502864459460286,1.6128826095275306
2018-05,4.074012053208698,2.866333594660503,1.2076784585481946
2018-06,3.77265140212657,2.693650014570906,1.0790013875556639
2018-07,3.6203460169883073,2.7471528898975115,0.8731931270907958
2018-08,3.223622950886007,3.3104817458375315,-0.08685879495152449
2018-09,1.3816037791283264,4.2112597790457045,-2.829655999917378
2018-10,0.420342753924352,3.4632503276131033,-3.042907573688751
2018-11,0.3556854590038405,2.964163211993605,-2.6084777529897645
2018-12,0.9174100649596896,2.6474685351547853,-1.7300584701950958
2019-01,1.44183377570819,2.370364366406368,-0.9285305906981778
2019-02,2.207226293606812,1.965598969653561,0.24162732395325115
2019-03,3.5181984033782143,1.9479381936389344,1.57026020973928
2019-04,4.079679639934053,2.287491799083061,1.7921878408509917
2019-05,4.361426297364979,2.637770393678613,1.7236559036863657
2019-06,5.121209517057057,2.8411621621918535,2.2800473548652036
2019-07,6.696986744862166,3.161386546586443,3.5356001982757226
2019-08,7.890440842869939,3.2360009781377848,4.654439864732154
2019-09,9.10949435180095,3.3483906863010944,5.761103665499856
2019-10,9.554797687054696,3.582483085761161,5.972314601293535
2019-11,10.862418792493145,3.852906037263278,7.009512755229867
2019-12,11.784883464958629,4.273679605494005,7.511203859464624
2020-01,13.05493837534426,4.093245950961204,8.961692424383056
2020-02,14.630297085978317,3.994299442713362,10.635997643264954
2020-03,15.810050566041587,4.133428489204243,11.676622076837344
2020-04,17.24347740989174,3.0815202285707386,14.161957181321
2020-05,18.5955516273955,3.518547678315982,15.077003949079518
2020-06,20.335747153067985,4.466464434102001,15.869282718965984
2020-07,20.590324993636155,5.156152571350541,15.434172422285615
2020-08,21.72824767862549,5.799513148364426,15.928734530261064
2020-09,22.750522535521167,5.674863904380345,17.075658631140822
2020-10,23.60768809771301,6.53480826177198,17.07287983594103
2020-11,23.543515931348136,8.102732811799461,15.440783119548675
2020-12,22.64603270392529,9.288435439780159,13.35759726414513
2021-01,21.12015788588959,9.698487971145951,11.421669914743639
2021-02,18.942779643108576,10.041402710889695,8.90137693221888
2021-03,16.628901164411936,9.254883576674025,7.37401758773791
2021-04,14.915931715298392,8.970138209174014,5.945793506124378
2021-05,13.573008979409453,9.603655594597065,3.969353384812388
2021-06,11.142972288985751,10.472516586845586,0.6704557021401651
2021-07,9.122613004651736,11.006385674271947,-1.8837726696202104
2021-08,6.379779829454435,10.935643710362001,-4.555863880907566
2021-09,3.6799234457197905,10.52442494339466,-6.8445014976748695
2021-10,1.1645244823170309,9.592068897352089,-8.427544415035058
2021-11,-2.1652601639408964,7.333979659459349,-9.499239823400245
2021-12,-4.775709071154033,5.206342583520669,-9.982051654674702
2022-01,-7.599372191130094,3.504213446275468,-11.103585637405562
2022-02,-9.23253973249798,2.583871990291108,-11.816411722789088
2022-03,-10.875070617433646,4.049557049343797,-14.924627666777443
2022-04,-12.460277372097206,6.4366788677042095,-18.896956239801415
2022-05,-13.648151642781237,5.493180479837065,-19.1413321226183
2022-06,-13.96555861901625,2.030131053026775,-15.995689672043024
2022-07,-14.085027444527576,-2.6042690492989244,-11.480758395228651
2022-08,-13.817094967763843,-5.112727897454668,-8.704367070309175
2022-09,-13.307902525104964,-8.649485328162044,-4.658417196942921
2022-10,-12.134972393417607,-10.153155564085868,-1.9818168293317395
2022-11,-10.258482168496297,-11.363354453124149,1.1048722846278523
2022-12,-8.363191359091449,-10.911551663090886,2.548360303999438
2023-01,-5.948122333146877,-8.739415585426379,2.7912932522795018
2023-02,-4.5236221439521,-7.59227631972583,3.0686541757737302
2023-03,-3.0671909740310532,-4.610839342823812,1.5436483687927591
2023-04,-1.7541906933836948,-2.3884176226069087,0.6342269292232139
2023-05,-0.8323193313565902,-0.8283717029117987,-0.003947628444791462
2023-06,-0.4745411186341641,1.6440177091179535,-2.1185588277521177
2023-07,-0.0408060460419079,2.2421379549640825,-2.2829440010059905
2023-08,0.3474573472242781,3.771899412731905,-3.424442065507627
2023-09,0.5855013346395488,4.675212499187985,-4.0897111645484365
2023-10,0.6596108208607454,4.022858876560964,-3.3632480557002182
2023-11,0.7246234752796177,2.138744295385962,-1.4141208201063442
2023-12,0.8629371311387857,-0.6630083025479792,1.5259454336867648
2024-01,0.933472737983454,-0.9496745588838138,1.8831472968672678
2024-02,0.9675113968797612,-0.9204163199872788,1.8879277168670399
2024-03,1.248937254218685,0.030109482343249283,1.2188277718754357
2024-04,1.648073926810767,1.8854651168203098,-0.2373911900095429
2024-05,1.894043969203718,1.883422020812219,0.010621948391499103
2024-06,2.362076110032696,4.030846935156198,-1.6687708251235023
2024-07,2.668080261937611,6.165493460667143,-3.4974131987295323
2024-08,2.478907469732139,7.049703499951214,-4.570796030219075
2024-09,2.346915740459732,7.302297216075388,-4.955381475615656
2024-10,2.6715407348469,6.337168053353622,-3.665627318506722
2024-11,3.32415651111182,4.194709712877572,-0.8705532017657518
2024-12,3.8036657707509742,2.3828836357331937,1.4207821350177805
